"Año";"Periodo";"Agua embalsada"
"2016";"Semana 7";"37.478"
"2016";"Semana 8";"37.588"
"2016";"Semana 9";"37.924"
"2016";"Semana 10";"38.003"
"2016";"Semana 11";"37.897"
"2016";"Semana 12";"38.211"
"2016";"Semana 13";"38.697"
"2016";"Semana 14";"39.124"
"2016";"Semana 15";"39.709"
"2016";"Semana 16";"40.637"
"2016";"Semana 17";"40.628"
"2016";"Semana 18";"40.707"
"2016";"Semana 19";"42.188"
"2016";"Semana 20";"42.141"
"2016";"Semana 21";"41.931"
"2016";"Semana 22";"41.702"
"2016";"Semana 23";"41.238"
"2016";"Semana 24";"40.771"
"2016";"Semana 25";"40.143"
"2016";"Semana 26";"39.424"
"2016";"Semana 27";"38.628"
"2016";"Semana 28";"37.841"
"2016";"Semana 29";"36.831"
"2016";"Semana 30";"35.898"
"2016";"Semana 31";"34.778"
"2016";"Semana 32";"33.891"
"2016";"Semana 33";"33.242"
"2016";"Semana 34";"32.351"
"2016";"Semana 35";"31.252"
"2016";"Semana 36";"30.324"
"2016";"Semana 37";"29.745"
"2016";"Semana 38";"29.197"
"2016";"Semana 39";"28.749"
"2016";"Semana 40";"28.266"
"2016";"Semana 41";"27.736"
"2016";"Semana 42";"27.318"
"2016";"Semana 43";"27.141"
"2016";"Semana 44";"27.002"
"2016";"Semana 45";"27.009"
"2016";"Semana 46";"26.928"
"2016";"Semana 47";"28.167"
"2016";"Semana 48";"28.547"
"2016";"Semana 49";"28.685"
"2016";"Semana 50";"28.692"
"2016";"Semana 51";"28.598"
"2016";"Semana 52";"28.580"
"2017";"Semana 1";"28.432"
"2017";"Semana 2";"28.327"
"2017";"Semana 3";"28.373"
"2017";"Semana 4";"28.028"
"2017";"Semana 5";"29.147"
"2017";"Semana 6";"30.407"
"2017";"Semana 7";"32.044"
"2017";"Semana 8";"32.476"
"2017";"Semana 9";"32.740"
"2017";"Semana 10";"33.032"
"2017";"Semana 11";"33.174"
"2017";"Semana 12";"33.064"
"2017";"Semana 13";"33.303"
"2017";"Semana 14";"33.313"
"2017";"Semana 15";"33.082"
"2017";"Semana 16";"32.800"
"2017";"Semana 17";"32.521"
"2017";"Semana 18";"32.301"
"2017";"Semana 19";"32.422"
"2017";"Semana 20";"32.344"
"2017";"Semana 21";"32.000"
"2017";"Semana 22";"31.618"
"2017";"Semana 23";"31.309"
"2017";"Semana 24";"30.678"
"2017";"Semana 25";"29.928"
"2017";"Semana 26";"29.407"
"2017";"Semana 27";"28.792"
"2017";"Semana 28";"28.242"
"2017";"Semana 29";"27.485"
"2017";"Semana 30";"26.826"
"2017";"Semana 31";"26.004"
"2017";"Semana 32";"25.200"
"2017";"Semana 33";"24.607"
"2017";"Semana 34";"23.985"
"2017";"Semana 35";"23.522"
"2017";"Semana 36";"23.030"
"2017";"Semana 37";"22.531"
"2017";"Semana 38";"22.053"
"2017";"Semana 39";"21.786"
"2017";"Semana 40";"21.484"
"2017";"Semana 41";"21.227"
"2017";"Semana 42";"21.169"
"2017";"Semana 43";"21.024"
"2017";"Semana 44";"20.920"
"2017";"Semana 45";"20.873"
"2017";"Semana 46";"20.768"
"2017";"Semana 47";"20.575"
"2017";"Semana 48";"20.446"
"2017";"Semana 49";"20.475"
"2017";"Semana 50";"21.106"
"2017";"Semana 51";"21.391"
"2017";"Semana 52";"21.832"
"2018";"Semana 1";"22.632"
"2018";"Semana 2";"23.065"
"2018";"Semana 3";"23.254"
"2018";"Semana 4";"23.508"
"2018";"Semana 5";"23.618"
"2018";"Semana 6";"23.526"
"2018";"Semana 7";"24.077"
"2018";"Semana 8";"24.413"
"2018";"Semana 9";"26.307"
"2018";"Semana 10";"30.120"
"2018";"Semana 11";"33.729"
"2018";"Semana 12";"34.980"
"2018";"Semana 13";"35.781"
"2018";"Semana 14";"36.628"
"2018";"Semana 15";"38.461"
"2018";"Semana 16";"39.690"
"2018";"Semana 17";"39.850"
"2018";"Semana 18";"40.109"
"2018";"Semana 19";"40.221"
"2018";"Semana 20";"40.257"
"2018";"Semana 21";"40.287"
"2018";"Semana 22";"40.591"
"2018";"Semana 23";"40.846"
"2018";"Semana 24";"40.868"
"2018";"Semana 25";"40.328"
"2018";"Semana 26";"39.603"
"2018";"Semana 27";"38.935"
"2018";"Semana 28";"38.254"
"2018";"Semana 29";"37.501"
"2018";"Semana 30";"36.481"
"2018";"Semana 31";"35.574"
"2018";"Semana 32";"34.787"
"2018";"Semana 33";"34.051"
"2018";"Semana 34";"33.180"
"2018";"Semana 35";"32.279"
"2018";"Semana 36";"31.663"
"2018";"Semana 37";"31.006"
"2018";"Semana 38";"30.539"
"2018";"Semana 39";"29.790"
"2018";"Semana 40";"29.309"
"2018";"Semana 41";"29.001"
"2018";"Semana 42";"29.371"
"2018";"Semana 43";"29.186"
"2018";"Semana 44";"29.307"
"2018";"Semana 45";"29.883"
"2018";"Semana 46";"30.107"
"2018";"Semana 47";"30.367"
"2018";"Semana 48";"30.741"
"2018";"Semana 49";"30.751"
"2018";"Semana 50";"30.804"
"2018";"Semana 51";"31.040"
"2018";"Semana 52";"30.935"
"2019";"Semana 1";"30.739"
"2019";"Semana 2";"30.551"
"2019";"Semana 3";"30.261"
"2019";"Semana 4";"30.718"
"2019";"Semana 5";"31.982"
"2019";"Semana 6";"32.571"
"2019";"Semana 7";"32.801"
"2019";"Semana 8";"32.846"
"2019";"Semana 9";"32.554"
"2019";"Semana 10";"32.936"
"2019";"Semana 11";"32.845"
"2019";"Semana 12";"32.627"
"2019";"Semana 13";"32.407"
"2019";"Semana 14";"32.213"
"2019";"Semana 15";"32.388"
"2019";"Semana 16";"32.779"
"2019";"Semana 17";"33.606"
"2019";"Semana 18";"34.033"
"2019";"Semana 19";"34.045"
"2019";"Semana 20";"33.944"
"2019";"Semana 21";"33.852"
"2019";"Semana 22";"33.587"
"2019";"Semana 23";"33.256"
"2019";"Semana 24";"32.814"
"2019";"Semana 25";"32.251"
"2019";"Semana 26";"31.591"
"2019";"Semana 27";"30.745"
"2019";"Semana 28";"30.181"
"2019";"Semana 29";"29.342"
"2019";"Semana 30";"28.448"
"2019";"Semana 31";"27.722"
"2019";"Semana 32";"27.024"
"2019";"Semana 33";"26.235"
"2019";"Semana 34";"25.659"
"2019";"Semana 35";"24.991"
"2019";"Semana 36";"24.325"
"2019";"Semana 37";"23.798"
"2019";"Semana 38";"23.383"
"2019";"Semana 39";"23.038"
"2019";"Semana 40";"22.656"
"2019";"Semana 41";"22.346"
"2019";"Semana 42";"22.313"
"2019";"Semana 43";"22.606"
"2019";"Semana 44";"22.713"
"2019";"Semana 45";"23.126"
"2019";"Semana 46";"24.251"
"2019";"Semana 47";"25.104"
"2019";"Semana 48";"26.233"
"2019";"Semana 49";"26.463"
"2019";"Semana 50";"26.955"
"2019";"Semana 51";"30.978"
"2019";"Semana 52";"31.487"
"2020";"Semana 1";"31.678"
"2020";"Semana 2";"31.480"
"2020";"Semana 3";"31.384"
"2020";"Semana 4";"31.927"
"2020";"Semana 5";"32.760"
"2020";"Semana 6";"33.000"
"2020";"Semana 7";"32.916"
"2020";"Semana 8";"32.738"
"2020";"Semana 9";"32.551"
"2020";"Semana 10";"33.234"
"2020";"Semana 11";"33.234"
"2020";"Semana 12";"33.727"
"2020";"Semana 13";"33.872"
"2020";"Semana 14";"34.366"
