"","tz_time","month","year","spot_price","GP48_export","GP48_import","GP48_cogen","GP48_wind","GP48_coal","GP48_pumping_con","GP48_cogen_ng","GP48_biomass","GP48_thermosolar","GP48_PV","GP48_CC","GP48_pumping_tur","GP48_nuclear","GP48_hydro_noUGH","GP48_hydro_UGH","GP48_hydro_total","GP48_total","Demand_actual","Demand_scheduled","Demand_forecasted"
"50",2018-02-01,2,2018,54.8821875,-1602.82142857143,2927.85839636914,3299.97276785714,7022.83824404762,5227.45729166667,-767.342903225806,2949.49836309524,358.363095238095,357.968630573248,1072.1986013986,2963.51220238095,402.721647058824,6818.67261904762,757.207142857143,2743.52797619048,3500.73511904762,29307.4632440476,191053.101190476,190595.919642857,191166.6875
"51",2018-03-01,3,2018,40.18,-2291.9134589502,2082.85096011817,3140.36473755047,10532.3777927322,1777.12853297443,-1271.81832460733,2827.58304172275,283.365006729475,335.155294117647,1119.72469635628,1641.03593539704,553.172124756335,6038.31641991925,1094.77039030956,4800.18882907133,5894.95921938089,29811.0333781965,179019.433378196,178554.209959623,179088.911170929
"52",2018-04-01,4,2018,42.6715972222222,-1167.37666666667,2383.7489539749,3268.31930555556,6302.99722222222,1879.19680555556,-1145.45231092437,2976.56041666667,243.816666666667,519.151702786378,1267.46850094877,1641.96,573.21036036036,5312.29583333333,1168.50833333333,5378.99361111111,6547.50194444444,25764.5970833333,166096.255555556,165909.916666667,166245.355555556
"53",2018-05-01,5,2018,54.915564516129,-1150.17177419355,2996.52567204301,3265.52311827957,4475.41129032258,3044.9751344086,-565.196173469388,2933.5622311828,300.849059139785,702.553601108033,1212.91731066461,2652.0123655914,288.265948275862,5033.34959677419,949.832661290323,3689.60524193548,4639.43790322581,24085.6412634409,161831.700268817,161793.185483871,161864.643817204
"54",2018-06-01,6,2018,58.4596944444444,-625.067387687188,3102.86958333333,3347.67541666667,3732.25472222222,3149.44680555556,-265.71661971831,3010.7025,346.274166666667,841.816991643454,1439.40324324324,3059.7975,128.889743589744,5020.87055555556,921.367777777778,4113.71361111111,5035.08138888889,24226.4981944444,169550.963888889,169469.508333333,169528.741666667
"55",2018-07-01,7,2018,61.8823924731183,-746.849726027397,3270.42177419355,3302.94543010753,3404.7189516129,4707.56129032258,-245.410948905109,2955.43991935484,355.456317204301,1208.21801075269,1583.06174377224,3074.20295698925,119.151155115512,6031.87580645161,633.104838709677,3416.61733870968,4049.72217741935,25649.5591397849,179796.543010753,179782.217741935,179762.14516129
"56",2018-08-01,8,2018,64.3275940860215,-773.866474820144,2381.9372311828,3187.68319892473,4195.34865591398,4736.89314516129,-332.475,2855.72567204301,344.961021505376,1011.2625,1485.80613718412,3640.72956989247,199.385433070866,6909.62163978495,484.356048387097,2351.77755376344,2836.13360215054,26197.8594086022,178350.826612903,178183.669354839,178412.793010753
"57",2018-09-01,9,2018,71.2735694444444,-810.092603129445,2361.83472803347,3336.32166666667,3381.07430555556,5732.06041666667,-255.123106060606,3001.85472222222,354.520972222222,731.7670605613,1384.57600806452,3060.43361111111,124.735598705502,6964.205,429.929166666667,2293.38347222222,2723.31263888889,25832.1326388889,173713.941666667,173618.983333333,173828.022222222
"58",2018-10-01,10,2018,65.0781879194631,-1551.06724832215,1438.8124251497,3363.6355704698,5814.88617449664,4563.4088590604,-1113.24557377049,3011.81100671141,312.137046979866,496.665403624382,1062.18637236084,3461.30966442953,377.8285077951,6912.35395973154,367.669127516779,1631.32348993289,1998.99261744966,26500.846442953,164559.185234899,164336.174496644,164667.190604027
"59",2018-11-01,11,2018,61.9705972222222,-1559.71013888889,1659.74620886981,3385.40236111111,6337.70555555556,5388.68555555556,-861.987786259542,3038.31555555556,325.2875,191.177192982456,687.191115311909,4492.74625,316.576392572944,5328.17486111111,737.958888888889,2227.02111111111,2964.98,27594.4768055556,174720.334722222,174572.716666667,174738.661111111
"60",2018-12-01,12,2018,61.8075403225806,-1547.64327956989,2803.20484522207,3381.74059139785,5737.28978494624,3831.38077956989,-616.746742209632,3049.98669354839,320.979838709677,208.631061806656,806.439562624254,3952.58938172043,301.263227513227,5778.08427419355,806.830913978495,2564.54879032258,3371.37970430108,25990.8991935484,171502.288978495,171169.346774194,171544.758064516
"61",2019-01-01,1,2019,61.9864784946237,-1855.58077956989,2189.16769851952,3562.14260752688,7919.70725806452,4165.07876344086,-851.464375,3216.18064516129,324.986962365591,253.409489051095,938.297963340122,4364.825,377.815921787709,6778.77943548387,576.237634408602,2350.07150537634,2926.30913978495,29676.7161290323,188843.216397849,188482.85483871,188899.188172043
"62",2019-02-01,2,2019,54.0086458333333,-1658.48616071429,3156.33764880952,3540.6224702381,5428.39270833333,3355.72321428571,-826.886089238845,3206.80074404762,341.517410714286,590.584810126582,1263.77956989247,3727.27157738095,429.677298850575,7083.76726190476,854.207440476191,2909.97678571429,3764.18422619048,28005.4616071429,180498.360119048,180257.035714286,180675.474702381
"63",2019-03-01,3,2019,48.8190713324361,-1683.49461641992,3583.6465679677,3472.01736204576,6466.39542395693,1125.52584118439,-758.298072805139,3147.83122476447,331.323014804845,751.306436420722,1441.89065420561,2909.86325706595,336.952328159645,7094.10713324361,699.69730820996,2247.21668909825,2946.91399730821,25411.498384926,167827.123822342,167589.553162853,167984.737550471
"64",2019-04-01,4,2019,50.4068611111111,-1255.46986111111,2765.77569444444,3464.54583333333,6572.31583333333,1016.83027777778,-608.515089514067,3158.99638888889,290.30375,642.517607973422,1322.33236434109,3819.93513888889,310.012413793103,6446.97680555556,689.151527777778,1890.30819444444,2579.45972222222,24458.3769444444,162994.072222222,162825.366666667,163081.044444444
"65",2019-05-01,5,2019,48.3885887096774,-1416.64919354839,2430.90727762803,3423.00201612903,6113.59825268817,485.43252688172,-606.008179419525,3105.92419354839,288.114784946237,1026.46069986541,1634.82383512545,5281.37284946237,300.849635036496,5371.71908602151,698.48064516129,1850.06706989247,2548.54771505376,24784.9233870968,160565.11827957,160547.862903226,160668.15188172
